index,Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
0,0,642,1,158876.8,1,1,4,6
1,1,14,1,26411.9,5,1,1,7
2,2,132,1,231044,5,1,5,11
3,3,285,1,350240,4,1,5,10
4,4,571,1,43747.5,2,1,2,5
5,5,329,1,49016.2,3,1,2,6
6,6,684,1,177551.2,1,1,4,6
7,7,488,1,21146.3,2,1,1,4
8,8,481,1,153273,2,1,4,7
9,9,719,1,14384,1,1,1,3
10,10,677,1,56313.6,1,1,2,4
11,11,20,1,53381.6,5,1,2,8
12,12,671,1,16344,1,1,1,3
13,13,213,1,198667.8,4,1,5,10
14,14,384,1,276288.5,3,1,5,9
15,15,66,1,57502.4,5,1,2,8
16,16,409,1,86202,3,1,3,7
17,17,598,1,101161.7,1,1,3,5
18,18,560,1,49113,2,1,2,5
19,19,274,1,62507,4,1,2,7
20,20,401,1,229612.2,3,1,5,9
21,21,591,1,106971.9,1,1,3,5
22,22,441,1,26505.55,2,1,1,4
23,23,171,1,64244.7,4,1,3,8
24,24,157,1,183855,4,1,5,10
25,25,580,1,181929.6,2,1,4,7
26,26,37,1,147601.65,5,1,4,10
27,27,580,1,21528,2,1,1,4
28,28,221,1,80529,4,1,3,8
29,29,148,1,128719.8,4,1,4,9
30,30,642,1,156909,1,1,4,6
31,31,576,1,26458.8,2,1,1,4
32,32,647,1,91941,1,1,3,5
33,33,723,1,132920,1,1,4,6
34,34,66,1,169692.8,5,1,4,10
35,35,442,1,121696.8,2,1,4,7
36,36,720,1,79061.9,1,1,3,5
37,37,164,1,135675,4,1,4,9
38,38,161,1,288900,4,1,5,10
39,39,31,1,196779.25,5,1,5,11
40,40,640,1,210672,1,1,5,7
41,41,552,1,99360.5,2,1,3,6
42,42,514,1,75170.65,2,1,3,6
43,43,55,1,185280,5,1,5,11
44,44,724,1,111720.6,1,1,3,5
45,45,116,1,128934,5,1,4,10
46,46,73,1,218170.8,5,1,5,11
47,47,521,1,147248,2,1,4,7
48,48,271,1,103759.2,4,1,3,8
49,49,530,1,164702.7,2,1,4,7
50,50,571,1,177050,2,1,4,7
51,51,433,1,10512.7,2,1,1,4
52,52,301,1,228456,3,1,5,9
53,53,621,1,34876.8,1,1,2,4
54,54,127,1,226674.75,5,1,5,11
55,55,95,1,55368,5,1,2,8
56,56,333,1,43338.95,3,1,2,6
57,57,478,1,30637.4,2,1,1,4
58,58,636,1,39768,1,1,2,4
59,59,356,1,150536.7,3,1,4,8
60,60,540,1,75633.6,2,1,3,6
61,61,432,1,83921.4,3,1,3,7
